Image;Hits;206 Hits;Hits combined;Bandwidth;Avg. Size
/releases/19.07.4/targets/x86/64/openwrt-19.07.4-x86-64-combined-ext4.img.gz;4652;7431;12083;29.08 GB;2.46 MB
/releases/19.07.4/targets/x86/64/openwrt-19.07.4-x86-64-combined-squashfs.img.gz;1993;3007;5000;10.81 GB;2.21 MB
/releases/19.07.4/targets/brcm2708/bcm2710/openwrt-19.07.4-brcm2708-bcm2710-rpi-3-ext4-factory.img.gz;1822;4113;5935;18.68 GB;3.22 MB
/snapshots/targets/bcm27xx/bcm2711/openwrt-bcm27xx-bcm2711-rpi-4-squashfs-factory.img.gz;983;5098;6081;10.37 GB;1.75 MB
/snapshots/targets/bcm27xx/bcm2711/openwrt-bcm27xx-bcm2711-rpi-4-ext4-factory.img.gz;958;964;1922;11.97 GB;6.38 MB
/releases/19.07.4/targets/x86/generic/openwrt-19.07.4-x86-generic-combined-ext4.img.gz;839;1322;2161;5.37 GB;2.54 MB
/releases/19.07.4/targets/brcm2708/bcm2708/openwrt-19.07.4-brcm2708-bcm2708-rpi-ext4-factory.img.gz;816;1311;2127;7.94 GB;3.82 MB
/snapshots/targets/rockchip/armv8/openwrt-rockchip-armv8-friendlyarm_nanopi-r2s-ext4-sysupgrade.img.gz;585;1167;1752;4.03 GB;2.35 MB
/releases/19.07.4/targets/brcm2708/bcm2709/openwrt-19.07.4-brcm2708-bcm2709-rpi-2-ext4-factory.img.gz;493;1145;1638;4.75 GB;2.97 MB
/releases/19.07.4/targets/x86/64/openwrt-19.07.4-x86-64-generic-rootfs.tar.gz;439;708;1147;1.40 GB;1.25 MB
/snapshots/targets/x86/64/openwrt-x86-64-generic-ext4-combined-efi.img.gz;408;953;1361;3.32 GB;2.50 MB
/releases/19.07.4/targets/x86/generic/openwrt-19.07.4-x86-generic-combined-squashfs.img.gz;384;714;1098;2.01 GB;1.88 MB
/releases/19.07.4/targets/brcm2708/bcm2710/openwrt-19.07.4-brcm2708-bcm2710-rpi-3-ext4-sysupgrade.img.gz;375;962;1337;3.60 GB;2.76 MB
/snapshots/targets/bcm27xx/bcm2711/openwrt-bcm27xx-bcm2711-rpi-4-ext4-sysupgrade.img.gz;344;436;780;3.96 GB;5.20 MB
/snapshots/targets/x86/64/openwrt-x86-64-generic-ext4-combined.img.gz;327;389;716;2.79 GB;3.99 MB
/snapshots/targets/rockchip/armv8/openwrt-rockchip-armv8-friendlyarm_nanopi-r2s-squashfs-sysupgrade.img.gz;322;363;685;1.95 GB;2.92 MB
/snapshots/targets/bcm27xx/bcm2711/openwrt-bcm27xx-bcm2711-rpi-4-squashfs-sysupgrade.img.gz;304;772;1076;3.21 GB;3.06 MB
/releases/19.07.4/targets/x86/64/openwrt-19.07.4-x86-64-rootfs-ext4.img.gz;296;405;701;985.74 MB;1.41 MB
/snapshots/targets/bcm27xx/bcm2710/openwrt-bcm27xx-bcm2710-rpi-3-ext4-factory.img.gz;261;970;1231;3.02 GB;2.51 MB
/releases/19.07.4/targets/x86/legacy/openwrt-19.07.4-x86-legacy-combined-ext4.img.gz;255;483;738;1.31 GB;1.81 MB
/releases/19.07.4/targets/ar71xx/nand/openwrt-19.07.4-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;236;755;991;922.97 MB;953.71 KB
/releases/19.07.4/targets/x86/64/openwrt-19.07.4-x86-64-rootfs-squashfs.img.gz;206;126;332;448.57 MB;1.35 MB
/releases/19.07.4/targets/brcm2708/bcm2710/openwrt-19.07.4-brcm2708-bcm2710-rpi-3-squashfs-factory.img.gz;201;238;439;1.86 GB;4.33 MB
/releases/19.07.4/targets/x86/geode/openwrt-19.07.4-x86-geode-combined-ext4.img.gz;197;491;688;1.21 GB;1.80 MB
/releases/19.07.3/targets/x86/64/openwrt-19.07.3-x86-64-rootfs-ext4.img.gz;186;1;187;715.75 MB;3.83 MB
/snapshots/targets/x86/64/openwrt-x86-64-generic-squashfs-combined.img.gz;184;833;1017;1.23 GB;1.24 MB
/releases/19.07.4/targets/brcm2708/bcm2708/openwrt-19.07.4-brcm2708-bcm2708-rpi-ext4-sysupgrade.img.gz;175;384;559;1.47 GB;2.68 MB
/releases/18.06.1/targets/x86/64/openwrt-18.06.1-x86-64-combined-ext4.img.gz;165;190;355;584.36 MB;1.65 MB
/snapshots/targets/x86/64/openwrt-x86-64-generic-squashfs-combined-efi.img.gz;164;406;570;1.19 GB;2.13 MB
/releases/19.07.4/targets/ar71xx/nand/openwrt-19.07.4-ar71xx-nand-mr18-squashfs-sysupgrade.tar;163;155;318;1015.60 MB;3.19 MB
/releases/19.07.2/targets/x86/64/openwrt-19.07.2-x86-64-combined-ext4.img.gz;163;129;292;1.13 GB;3.95 MB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun7i-a20-cubieboard2-squashfs-sdcard.img.gz;149;0;149;430.80 MB;2.89 MB
/releases/19.07.1/targets/x86/64/openwrt-19.07.1-x86-64-combined-ext4.img.gz;147;44;191;1.05 GB;5.63 MB
/releases/18.06.4/targets/x86/64/openwrt-18.06.4-x86-64-combined-ext4.img.gz;140;110;250;657.92 MB;2.63 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-lamobo-r1-squashfs-sdcard.img.gz;129;99;228;588.40 MB;2.58 MB
/releases/18.06.8/targets/x86/64/openwrt-18.06.8-x86-64-combined-ext4.img.gz;122;478;600;599.36 MB;1022.91 KB
/releases/19.07.4/targets/x86/legacy/openwrt-19.07.4-x86-legacy-combined-squashfs.img.gz;121;247;368;471.50 MB;1.28 MB
/releases/19.07.4/targets/x86/generic/openwrt-19.07.4-x86-generic-generic-rootfs.tar.gz;120;103;223;389.19 MB;1.75 MB
/releases/19.07.4/targets/apm821xx/sata/openwrt-19.07.4-apm821xx-sata-wd_mybooklive-ext4-factory.img.gz;119;27;146;624.49 MB;4.28 MB
/releases/17.01.4/targets/brcm2708/bcm2710/lede-17.01.4-brcm2708-bcm2710-rpi-3-ext4-sdcard.img.gz;119;198;317;721.80 MB;2.28 MB
/releases/19.07.4/targets/brcm2708/bcm2709/openwrt-19.07.4-brcm2708-bcm2709-rpi-2-ext4-sysupgrade.img.gz;112;208;320;988.00 MB;3.09 MB
/releases/19.07.3/targets/x86/64/openwrt-19.07.3-x86-64-combined-ext4.img.gz;107;118;225;739.20 MB;3.29 MB
/releases/19.07.1/targets/x86/generic/openwrt-19.07.1-x86-generic-combined-ext4.img.gz;105;258;363;398.25 MB;1.10 MB
/releases/19.07.4/targets/brcm2708/bcm2710/openwrt-19.07.4-brcm2708-bcm2710-rpi-3-squashfs-sysupgrade.img.gz;100;155;255;929.59 MB;3.65 MB
/releases/19.07.0-rc2/targets/x86/64/openwrt-19.07.0-rc2-x86-64-combined-ext4.img.gz;99;479;578;460.40 MB;815.66 KB
/releases/19.07.4/targets/x86/generic/openwrt-19.07.4-x86-generic-rootfs-ext4.img.gz;99;80;179;300.48 MB;1.68 MB
/snapshots/targets/bcm27xx/bcm2710/openwrt-bcm27xx-bcm2710-rpi-3-ext4-sysupgrade.img.gz;99;327;426;1.11 GB;2.67 MB
/releases/19.07.4/targets/ar71xx/nand/openwrt-19.07.4-ar71xx-nand-wndr3700v4-squashfs-sysupgrade.tar;95;135;230;360.00 MB;1.57 MB
/snapshots/targets/x86/64/openwrt-x86-64-rootfs.tar.gz;91;21;112;268.76 MB;2.40 MB
/releases/19.07.0/targets/x86/64/openwrt-19.07.0-x86-64-combined-ext4.img.gz;91;85;176;469.43 MB;2.67 MB
/snapshots/targets/bcm27xx/bcm2708/openwrt-bcm27xx-bcm2708-rpi-ext4-factory.img.gz;81;477;558;885.85 MB;1.59 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h2-plus-orangepi-zero-squashfs-sdcard.img.gz;80;70;150;282.52 MB;1.88 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-xunlong_orangepi-zero-squashfs-sdcard.img.gz;77;38;115;362.68 MB;3.15 MB
/releases/17.01.0/targets/brcm2708/bcm2710/lede-17.01.0-r3205-59508e3-brcm2708-bcm2710-rpi-3-ext4-sdcard.img.gz;77;2723;2800;765.97 MB;280.13 KB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h3-orangepi-pc-ext4-sdcard.img.gz;74;126;200;382.75 MB;1.91 MB
/releases/19.07.4/targets/octeon/generic/openwrt-19.07.4-octeon-erlite-squashfs-sysupgrade.tar;73;48;121;500.37 MB;4.14 MB
/releases/19.07.4/targets/ar71xx/nand/openwrt-19.07.4-ar71xx-nand-r6100-squashfs-sysupgrade.tar;72;46;118;265.02 MB;2.25 MB
/releases/19.07.0-rc2/targets/x86/64/openwrt-19.07.0-rc2-x86-64-combined-squashfs.img.gz;72;149;221;441.06 MB;2.00 MB
/releases/19.07.4/targets/armvirt/64/openwrt-19.07.4-armvirt-64-default-rootfs.tar.gz;68;5;73;115.93 MB;1.59 MB
/releases/19.07.4/targets/mvebu/cortexa9/omnia-medkit-openwrt-19.07.4-mvebu-cortexa9-cznic_turris-omnia-initramfs.tar.gz;68;4;72;198.14 MB;2.75 MB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-cznic_turris-omnia-sysupgrade.img.gz;65;3;68;287.90 MB;4.23 MB
/releases/19.07.4/targets/sunxi/cortexa53/openwrt-19.07.4-sunxi-cortexa53-sun50i-h5-nanopi-neo-plus2-ext4-sdcard.img.gz;64;79;143;329.84 MB;2.31 MB
/releases/19.07.3/targets/brcm2708/bcm2708/openwrt-19.07.3-brcm2708-bcm2708-rpi-ext4-sysupgrade.img.gz;63;42;105;564.38 MB;5.38 MB
/releases/19.07.4/targets/x86/generic/openwrt-19.07.4-x86-generic-rootfs-squashfs.img.gz;63;47;110;147.07 MB;1.34 MB
/releases/18.06.1/targets/armvirt/32/openwrt-18.06.1-armvirt-32-root.ext4.gz;62;3;65;127.93 MB;1.97 MB
/releases/19.07.4/targets/oxnas/ox820/openwrt-19.07.4-oxnas-ox820-shuttle_kd20-factory.tar.gz;62;15;77;290.32 MB;3.77 MB
/releases/18.06.4/targets/ramips/mt7621/openwrt-18.06.4-ramips-mt7621-mir3g-squashfs-sysupgrade.tar;58;329;387;181.93 MB;481.39 KB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h2-plus-orangepi-r1-ext4-sdcard.img.gz;58;69;127;280.64 MB;2.21 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-bananapi-squashfs-sdcard.img.gz;56;22;78;191.10 MB;2.45 MB
/snapshots/targets/rockchip/armv8/openwrt-rockchip-armv8-pine64_rockpro64-ext4-sysupgrade.img.gz;56;37;93;325.83 MB;3.50 MB
/releases/18.06.8/targets/x86/64/openwrt-18.06.8-x86-64-combined-squashfs.img.gz;55;112;167;234.56 MB;1.40 MB
/snapshots/targets/x86/generic/openwrt-x86-generic-rootfs.tar.gz;55;0;55;144.55 MB;2.63 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h2-plus-orangepi-zero-ext4-sdcard.img.gz;54;96;150;201.19 MB;1.34 MB
/releases/19.07.4/targets/x86/geode/openwrt-19.07.4-x86-geode-combined-squashfs.img.gz;54;20;74;278.61 MB;3.77 MB
/snapshots/targets/x86/64/openwrt-x86-64-generic-ext4-rootfs.img.gz;53;18;71;188.18 MB;2.65 MB
/releases/19.07.4/targets/armvirt/64/openwrt-19.07.4-armvirt-64-root.ext4.gz;52;2;54;94.88 MB;1.76 MB
/releases/19.07.4/targets/armvirt/32/openwrt-19.07.4-armvirt-32-default-rootfs.tar.gz;52;110;162;68.43 MB;432.52 KB
/releases/18.06.4/targets/x86/generic/openwrt-18.06.4-x86-generic-combined-squashfs.img.gz;52;112;164;321.05 MB;1.96 MB
/releases/19.07.4/targets/mvebu/cortexa53/openwrt-19.07.4-mvebu-cortexa53-globalscale_espressobin-v7-emmc-ext4-sdcard.img.gz;50;0;50;251.42 MB;5.03 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-xunlong_orangepi-zero-ext4-sdcard.img.gz;49;23;72;231.04 MB;3.21 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h3-orangepi-one-ext4-sdcard.img.gz;48;63;111;186.13 MB;1.68 MB
/releases/18.06.8/targets/x86/64/openwrt-18.06.8-x86-64-generic-rootfs.tar.gz;47;9;56;112.02 MB;2.00 MB
/releases/18.06.2/targets/x86/64/openwrt-18.06.2-x86-64-combined-ext4.img.gz;47;70;117;229.28 MB;1.96 MB
/releases/19.07.4/targets/apm821xx/sata/openwrt-19.07.4-apm821xx-sata-wd_mybooklive-ext4-sysupgrade.img.gz;47;12;59;202.17 MB;3.43 MB
/releases/19.07.4/targets/sunxi/cortexa53/openwrt-19.07.4-sunxi-cortexa53-sun50i-h5-orangepi-zero-plus-ext4-sdcard.img.gz;46;87;133;256.24 MB;1.93 MB
/snapshots/targets/bcm27xx/bcm2710/openwrt-bcm27xx-bcm2710-rpi-3-squashfs-factory.img.gz;46;10;56;566.11 MB;10.11 MB
/releases/19.07.4/targets/gemini/generic/openwrt-19.07.4-gemini-raidsonic_ib-4220-b-ext4-factory.bin.gz;46;4;50;271.61 MB;5.43 MB
/releases/17.01.4/targets/x86/64/lede-17.01.4-x86-64-combined-ext4.img.gz;46;19;65;176.43 MB;2.71 MB
/snapshots/targets/bcm27xx/bcm2709/openwrt-bcm27xx-bcm2709-rpi-2-ext4-factory.img.gz;46;416;462;571.56 MB;1.24 MB
/snapshots/targets/mediatek/mt7623/openwrt-mediatek-mt7623-bpi_bananapi-r2-squashfs-img.gz;46;10;56;202.85 MB;3.62 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-friendlyarm_nanopi-r1-squashfs-sdcard.img.gz;45;44;89;248.35 MB;2.79 MB
