Firmware;Hits;Bandwidth
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-xiaomi_mir3p-initramfs-kernel.bin;2598;528.26 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-d-team_newifi-d2-squashfs-sysupgrade.bin;1336;4.05 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v5-squashfs-factory.bin;1296;5.06 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c6-v2-squashfs-factory.bin;1165;4.41 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v2-squashfs-factory.bin;1161;14.83 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v2-squashfs-sysupgrade.bin;1047;4.08 GB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-miwifi-mini-squashfs-sysupgrade.bin;894;2.14 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v5-squashfs-sysupgrade.bin;717;2.80 GB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-96328avng-generic-squashfs-cfe-8M.bin;707;2.16 GB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-linksys_wrt3200acm-squashfs-sysupgrade.bin;705;3.55 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tl-wr841n-v13-squashfs-tftp-recovery.bin;678;3.69 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mir3g-v2-squashfs-sysupgrade.bin;663;2.44 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v1-squashfs-sysupgrade.bin;653;2.36 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v1-squashfs-factory.bin;644;4.35 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wdr4300-v1-squashfs-sysupgrade.bin;624;2.29 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v8-squashfs-factory.bin;619;1.91 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr740n-v4-squashfs-factory.bin;615;1.94 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-xiaomi_mir3g-squashfs-sysupgrade.bin;615;2.16 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_redmi-router-ac2100-squashfs-sysupgrade.bin;609;2.39 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wdr4300-v1-squashfs-factory.bin;600;4.02 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-xiaomi_mir3p-squashfs-factory.bin;568;2.50 GB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-rt-ac51u-squashfs-sysupgrade.bin;538;1.86 GB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-linksys_wrt1900acs-squashfs-sysupgrade.bin;534;2.23 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c6-v2-squashfs-sysupgrade.bin;527;1.76 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_c50-v4-squashfs-sysupgrade.bin;525;1.74 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-gl-mt300n-v2-squashfs-sysupgrade.bin;524;1.78 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_redmi-router-ac2100-squashfs-kernel1.bin;506;958.53 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v9-squashfs-factory.bin;489;1.59 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-a7-v5-squashfs-factory.bin;483;1.84 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mi-router-4a-gigabit-squashfs-sysupgrade.bin;476;1.65 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr940n-v6-squashfs-factory.bin;443;1.33 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_redmi-router-ac2100-squashfs-rootfs0.bin;439;1.38 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wdr3600-v1-squashfs-sysupgrade.bin;435;1.58 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wdr3600-v1-squashfs-factory.bin;435;2.95 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-xiaomi_mir3g-squashfs-kernel1.bin;435;634.93 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-d-team_newifi-d2-squashfs-sysupgrade.bin;425;1.21 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v2-squashfs-factory.bin;403;2.65 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-xiaomi_mir4a-100m-squashfs-sysupgrade.bin;392;1.17 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v2-squashfs-sysupgrade.bin;392;1.40 GB
/releases/19.07.4/targets/ipq806x/generic/openwrt-19.07.4-ipq806x-generic-netgear_r7800-squashfs-sysupgrade.bin;379;1.67 GB
/releases/19.07.4/targets/ar71xx/mikrotik/openwrt-19.07.4-ar71xx-mikrotik-rb-nor-flash-16M-initramfs-kernel.bin;375;1.19 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-ubnt-erx-squashfs-sysupgrade.bin;372;1.06 GB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-linksys_wrt1900ac-squashfs-sysupgrade.bin;370;1.45 GB
/releases/17.01.7/targets/ar71xx/generic/lede-17.01.7-ar71xx-generic-tl-wr841-v8-squashfs-factory.bin;368;1.15 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-mr3020-v3-squashfs-tftp-recovery.bin;366;2.18 GB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-HG556a-C-squashfs-cfe.bin;359;1016.87 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-xiaomi_mir3g-squashfs-rootfs0.bin;354;958.65 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_c20-v4-squashfs-tftp-recovery.bin;354;2.16 GB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-linksys_wrt1200ac-squashfs-sysupgrade.bin;351;1.43 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-r6220-squashfs-sysupgrade.bin;346;1.21 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-ubnt-erx-initramfs-kernel.bin;346;934.17 MB
/releases/19.07.4/targets/lantiq/xrx200/openwrt-19.07.4-lantiq-xrx200-bt_homehub-v5a-squashfs-sysupgrade.bin;344;1.62 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr740n-v4-squashfs-sysupgrade.bin;340;1.03 GB
/releases/19.07.4/targets/ramips/rt3883/openwrt-19.07.4-ramips-rt3883-rt-n56u-squashfs-sysupgrade.bin;339;1.07 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v9-squashfs-sysupgrade.bin;337;1.02 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tl-wr840n-v4-squashfs-sysupgrade.bin;323;1.01 GB
/releases/18.06.4/targets/ramips/mt76x8/openwrt-18.06.4-ramips-mt76x8-tl-wr840n-v5-squashfs-sysupgrade.bin;321;846.26 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-asus_rt-ac58u-squashfs-sysupgrade.bin;321;1.32 GB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-tplink_c2-v1-squashfs-factory.bin;320;2.06 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v11-squashfs-factory.bin;320;1.02 GB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-linksys_viper-squashfs-factory.bin;316;1.39 GB
/releases/17.01.7/targets/ar71xx/generic/lede-17.01.7-ar71xx-generic-tl-mr3020-v1-squashfs-factory.bin;312;925.52 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-mr3420-v5-squashfs-sysupgrade.bin;311;997.35 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-psg1218a-squashfs-sysupgrade.bin;303;682.81 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v4-squashfs-factory.bin;302;1.15 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tl-wr841n-v13-squashfs-sysupgrade.bin;296;907.38 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c6-v2-us-squashfs-factory.bin;296;1.23 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-wr842n-v5-squashfs-tftp-recovery.bin;291;1.73 GB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-ArcherMR200-squashfs-sysupgrade.bin;288;1.14 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr941nd-v5-squashfs-factory.bin;283;843.08 MB
/releases/19.07.4/targets/ar71xx/mikrotik/openwrt-19.07.4-ar71xx-mikrotik-rb-nor-flash-16M-squashfs-sysupgrade.bin;280;950.17 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-HG553-squashfs-cfe.bin;276;833.14 MB
/releases/19.07.4/targets/bcm53xx/generic/openwrt-19.07.4-bcm53xx-tplink-archer-c5-v2-squashfs.bin;276;968.97 MB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-linksys_wrt32x-squashfs-sysupgrade.bin;276;1.24 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mi-router-4a-gigabit-initramfs-kernel.bin;270;906.90 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-wr902ac-v3-squashfs-tftp-recovery.bin;269;1.76 GB
/releases/19.07.4/targets/lantiq/xrx200/openwrt-19.07.4-lantiq-xrx200-tplink_tdw8970-squashfs-sysupgrade.bin;266;1.13 GB
/releases/19.07.4/targets/ar71xx/mikrotik/openwrt-19.07.4-ar71xx-mikrotik-nand-large-squashfs-sysupgrade.bin;265;994.87 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-zbt-we826-16M-squashfs-sysupgrade.bin;262;925.84 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tplink_archer-c20-v5-squashfs-sysupgrade.bin;258;948.66 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mi-router-ac2100-squashfs-sysupgrade.bin;255;1.07 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr741nd-v4-squashfs-factory.bin;255;820.71 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-k2p-squashfs-sysupgrade.bin;253;477.06 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c7-v4-squashfs-sysupgrade.bin;252;983.48 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-avm_fritzbox-4040-squashfs-eva.bin;250;1.21 GB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c6-v2-us-squashfs-sysupgrade.bin;247;977.28 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-AR5387un-squashfs-cfe.bin;237;1.37 GB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-xiaomi_mir3p-squashfs-sysupgrade.bin;235;802.05 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tl-wr840n-v4-squashfs-tftp-recovery.bin;234;1.35 GB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-tplink_c2-v1-squashfs-sysupgrade.bin;234;833.28 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-HG556a-A-squashfs-cfe.bin;233;686.44 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-youku-yk1-squashfs-sysupgrade.bin;231;583.14 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr940n-v6-squashfs-sysupgrade.bin;229;629.37 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-mr3420-v5-squashfs-tftp-recovery.bin;229;1.17 GB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mi-router-ac2100-squashfs-kernel1.bin;227;422.30 MB
